"","SiteName","SampleName","SampleDate","RiffleDepth"
"192","08ISS4573","08ISS4573_18",2018-08-01 16:00:00,2.41141732283465
"193","08LAK3879","08LAK3879_18",2018-08-01 16:40:00,2.80511811023622
"194","08ISS4748","08ISS4748_18",2018-08-01 18:26:00,4.47834645669291
"195","08CED2711","08CED2711_18",2018-08-01 18:45:00,3.49409448818898
"196","08ISS4294","08ISS4294_18",2018-08-01 20:24:00,4.82283464566929
"197","08CED2898","08CED2898_18",2018-08-01 21:30:00,2.01771653543307
"198","08ISS3962","08ISS3962_18",2018-08-01 21:43:00,4.42913385826772
"199","08WES1178","08WES1178_18",2018-08-02 16:43:00,1.91929133858268
"200","08WES0622","08WES0622_18",2018-08-02 16:50:00,2.33759842519685
"201","08WES0629","08WES0629_18",2018-08-02 19:30:00,2.38681102362205
"202","08WES0905","08WES0905_18",2018-08-02 20:52:00,3.02657480314961
"203","07LMS033235","07LMS033235_18",2018-08-06 18:45:00,4.13385826771654
"204","08BEA3826","08BEA3826_18",2018-08-06 18:45:00,1.77165354330709
"205","07LMS213875","07LMS213875_18",2018-08-06 20:56:00,9.54724409448819
"206","08BEA3914","08BEA3914_18",2018-08-06 21:30:00,2.70669291338583
"207","08LAK3540","08LAK3540_18",2018-08-07 16:30:00,2.38681102362205
"208","07HAR070087","07HAR070087_18",2018-08-07 16:45:00,3.1496062992126
"209","09BLA0722","09BLA0722_18",2018-08-07 17:39:00,3.125
"210","07STL080295","07STL080295_18",2018-08-07 19:55:00,10.7037401574803
"211","09BLA0675","09BLA0675_18",2018-08-07 20:20:00,3.0511811023622
"212","07RAG043443","07RAG043443_18",2018-08-08 16:30:00,4.7490157480315
"213","08SAM3045","08SAM3045_18",2018-08-08 17:00:00,2.92814960629921
"214","09BLA0817","09BLA0817_18",2018-08-08 17:00:00,2.80511811023622
"215","08SAM2862","08SAM2862_18",2018-08-08 19:00:00,2.92814960629921
"216","08LAK3699","08LAK3699_18",2018-08-08 19:35:00,1.84547244094488
"217","09BLA0716","09BLA0716_18",2018-08-09 16:09:00,4.7490157480315
"218","BSE_21_GolfCrs","BSE_21_GolfCrs_18",2018-08-09 17:00:00,6.10236220472441
"219","09LOW0753","09LOW0753_18",2018-08-09 19:32:00,1.77165354330709
"220","08EVA3637","08EVA3637_18",2018-08-13 15:32:00,2.33759842519685
"221","07LMS026663","07LMS026663_18",2018-08-13 15:38:00,11.2696850393701
"222","07LMS093027","07LMS093027_18",2018-08-13 19:36:00,11.8110236220472
