"","SiteName","SampleName","SampleDate","WettedWidth","BankfulWidth","expr1"
"173","08LIT2685","08LIT2685_17",2017-09-24 23:59:59,15.5,21.5,0.720930232558139
"174","08LAK3628","08LAK3628_17",2017-09-25 09:15:00,5.475,10.25,0.534146341463415
"175","07LNT062039","07LNT062039_17",2017-09-27 10:29:59,57.8333333333333,88.5666666666667,0.652992096349266
"176","07LNT075179","07LNT075179_17",2017-09-27 13:15:00,14.75,48.5,0.304123711340206
"177","TNMA0609","TNMA0609_17",2017-09-28 12:15:00,10.5,NA,NA
"178","95T","95T_17",2017-09-28 13:15:00,26.5,NA,NA
"179","08LAK3880","08LAK3880_17",2017-09-28 14:00:00,8.7,17,0.511764705882353
"180","TNMA6462","TNMA6462_17",2017-10-05 10:00:00,13,NA,NA
"181","MOHL","MOHL_17",2017-10-05 11:59:59,2.45,NA,NA
"182","09NEW2128","09NEW2128_17",2017-10-07 12:15:00,8.43333333333333,14.8333333333333,0.568539325842697
"183","08ISS4294","08ISS4294_17",2017-10-10 09:44:59,12.1,27.25,0.444036697247706
"184","08ISS4724","08ISS4724_17",2017-10-26 14:14:59,18.875,33.75,0.559259259259259
"185","08ISS3877","08ISS3877_18",2018-07-25 16:30:00,45.8109625,67.1374625,0.682345754428833
"186","08LAK2827","08LAK2827_18",2018-07-26 17:00:00,4.19968,4.33092,0.96969696969697
"187","08ISS4735","08ISS4735_18",2018-07-27 16:15:00,4.3391225,10.089075,0.430081300813008
"188","09BLA0772","09BLA0772_18",2018-07-30 16:18:00,4.9215,8.415765,0.584795321637427
"189","09BLA0771","09BLA0771_18",2018-07-30 18:37:00,7.05415,9.925025,0.710743801652893
"190","08EAS2540","08EAS2540_18",2018-07-31 15:30:00,3.494265,6.72605,0.519512195121951
"191","08CED2518","08CED2518_18",2018-08-01 16:00:00,8.284525,10.745275,0.770992366412214
"192","08ISS4573","08ISS4573_18",2018-08-01 16:00:00,5.9140025,8.39936,0.7041015625
"193","08LAK3879","08LAK3879_18",2018-08-01 16:40:00,7.7677675,14.518425,0.535028248587571
"194","08ISS4748","08ISS4748_18",2018-08-01 18:26:00,10.8273,17.55335,0.616822429906542
"195","08CED2711","08CED2711_18",2018-08-01 18:45:00,6.13547,9.8019875,0.625941422594142
"196","08ISS4294","08ISS4294_18",2018-08-01 20:24:00,9.9004175,16.47062,0.60109561752988
"197","08CED2898","08CED2898_18",2018-08-01 21:30:00,2.7478375,5.74175,0.478571428571429
"198","08ISS3962","08ISS3962_18",2018-08-01 21:43:00,52.7994925,53.7837925,0.981698947689492
"199","08WES1178","08WES1178_18",2018-08-02 16:43:00,4.1422625,4.937905,0.838870431893688
"200","08WES0622","08WES0622_18",2018-08-02 16:50:00,5.15117,13.91144,0.370283018867925
"201","08WES0629","08WES0629_18",2018-08-02 19:30:00,24.361425,41.258575,0.590457256461233
"202","08WES0905","08WES0905_18",2018-08-02 20:52:00,10.92573,12.6072425,0.866623292127521
"203","07LMS033235","07LMS033235_18",2018-08-06 18:45:00,23.705225,36.337075,0.652370203160271
"204","08BEA3826","08BEA3826_18",2018-08-06 18:45:00,4.183275,15.4124975,0.271420968600319
"205","07LMS213875","07LMS213875_18",2018-08-06 20:56:00,217.448275,230.16215,0.944761225944405
"206","08BEA3914","08BEA3914_18",2018-08-06 21:30:00,7.8744,17.22525,0.457142857142857
"207","08LAK3540","08LAK3540_18",2018-08-07 16:30:00,5.2496,8.8587,0.592592592592593
"208","07HAR070087","07HAR070087_18",2018-08-07 16:45:00,5.97142,8.481385,0.704061895551257
"209","09BLA0722","09BLA0722_18",2018-08-07 17:39:00,6.2339,10.46639,0.595611285266458
"210","07STL080295","07STL080295_18",2018-08-07 19:55:00,80.630575,94.738875,0.851082251082251
"211","09BLA0675","09BLA0675_18",2018-08-07 20:20:00,11.893625,20.588275,0.577689243027888
"212","07RAG043443","07RAG043443_18",2018-08-08 16:30:00,47.2464,68.40885,0.690647482014389
"213","08SAM3045","08SAM3045_18",2018-08-08 17:00:00,6.808075,9.760975,0.697478991596639
"214","09BLA0817","09BLA0817_18",2018-08-08 17:00:00,5.84018,13.28805,0.439506172839506
"215","08SAM2862","08SAM2862_18",2018-08-08 19:00:00,5.74175,9.1868,0.625
"216","08LAK3699","08LAK3699_18",2018-08-08 19:35:00,19.0298,20.916375,0.909803921568627
"217","09BLA0716","09BLA0716_18",2018-08-09 16:09:00,8.1450825,9.531305,0.854561101549054
"218","BSE_21_GolfCrs","BSE_21_GolfCrs_18",2018-08-09 17:00:00,29.2009,27.314325,1.06906906906907
"219","09LOW0753","09LOW0753_18",2018-08-09 19:32:00,4.16687,6.283115,0.663185378590078
"220","08EVA3637","08EVA3637_18",2018-08-13 15:32:00,2.247485,3.6501125,0.615730337078652
"221","07LMS026663","07LMS026663_18",2018-08-13 15:38:00,157.98015,243.4502,0.648921832884097
"222","07LMS093027","07LMS093027_18",2018-08-13 19:36:00,187.50915,211.9526,0.884674922600619
"223","08EAS2631","08EAS2631_18",2018-08-14 15:21:00,19.29228,24.558285,0.785571142284569
"224","08EAS2446","08EAS2446_18",2018-08-14 15:50:00,12.8369125,29.3239375,0.437762237762238
"225","08EAS1964","08EAS1964_18",2018-08-14 18:27:00,20.752325,26.08395,0.79559748427673
"226","07GRN077319","07GRN077319_18",2018-08-14 18:30:00,16.158925,33.056075,0.488833746898263
