"","Site.Code","mean_Overall.Score","SD_overallscore","SE_overallscore","len","MK_trend","Avg_MKSlope_Overall.Score","Avg_MKtau_Overall.Score","Avg_MKpval_Overall.Score","sites","min","max","med"
"31","08ISS3962",71.9974498355274,12.7177901865764,3.08451719198225,17,"none",0.842212462300305,0.308823529411765,0.0912390290553886,1,45.1662178131146,91.6144333702473,71.8529366050786
"32","08ISS4294",73.3539433986115,11.9471901178058,2.81597971614179,18,"none",0.67060931045019,0.176470588235294,0.324712384363857,1,51.4966574553118,93.5430047988187,74.4734844978383
"33","08ISS4573",76.0566552610436,9.10796352011407,2.08951013503327,19,"none",0.810419302359875,0.333333333333333,0.050090305683375,1,60.1586870162182,92.5972392220862,76.2540111107682
"34","08ISS4724",72.4906909652286,11.4303779316216,2.77227385604735,17,"none",0.822348932319654,0.264705882352941,0.14937517875499,1,40.2573590839845,87.7480403013919,72.4456818631165
"35","08ISS4730",70.9440421936942,10.7582245590545,2.5357378464117,18,"none",0.708254848246921,0.215686274509804,0.225479297447916,1,53.2926822299707,92.6650686794506,69.7023513811889
"36","08ISS4735",89.1395653510097,5.76494420121015,1.73819607752265,11,"none",-0.237644908364549,-0.127272727272727,0.640428787412791,1,81.5840878987254,98.7454780361757,91.1743326053391
"37","08ISS4748",75.2151230111588,12.4545599096464,3.11363997741159,16,"none",-0.360462241302075,-0.116666666666667,0.558350909375985,1,40.7861688535063,92.0882244370617,76.9855721154231
"38","08ISS4884",89.8553884902254,5.79965701940566,1.49746500332487,15,"none",0.00421381244334585,0.00952380952380952,1,1,78.2595262095046,100,90.4423924608603
"39","08LAK2827",24.0155125663757,8.80519125077558,2.07540348102262,18,"none",0.113994040428627,0.0457516339869281,0.820216749509663,1,8.78417686944219,42.6730314728911,23.0045313923203
"40","08LAK3121",13.7536094592196,6.77489846703674,1.95574472683802,12,"positive",1.04954221973367,0.575757575757576,0.0111748113273804,1,1.14912280701754,25.1701926384589,12.8144786270281
"41","08LAK3540",31.8909688974589,9.26785805283271,2.24778574559179,17,"none",0.630846173423953,0.176470588235294,0.343419487182742,1,16.1444051304732,53.2838691576182,31.3096752368838
"42","08LAK3616",25.4965499496783,12.9487095709383,3.90418283328057,11,"none",0.086399080235941,0.0181818181818182,1,1,8.96311858076564,46.6972101366047,22.7556208121764
"43","08LAK3627",48.7410202146954,6.85848808458402,1.77085400878373,15,"none",0.0489413703738002,0.0285714285714286,0.921158650225025,1,37.0402868205626,62.2780917752658,47.6112776812071
"44","08LAK3628",52.920615619202,15.3878792727748,3.62695792728632,18,"none",0.988880966503293,0.241830065359477,0.17269436302932,1,18.7112328815655,72.2979910446431,57.9592020406694
"45","08LAK3699",44.1973597320465,18.6874313642919,4.53236784626212,17,"none",0.516631788374266,0.0735294117647059,0.710835924814926,1,18.4287677127154,77.516084442753,42.0566512610756
"46","08LAK3879",54.2631577368434,7.4077743089489,1.699459979435,19,"none",0.34694617681154,0.146198830409357,0.401102572891941,1,41.7249247720304,65.8997425163456,54.8011870190753
"47","08LIT2585",47.3077419891919,11.5292166222714,2.64498369235106,19,"none",0.69595074667974,0.239766081871345,0.161686216592041,1,29.0384908349305,70.8231494148047,48.8981068151455
"48","08LIT2602",55.8824105289511,10.4636093598228,2.53779803622065,17,"positive",1.07842487260102,0.411764705882353,0.0234762206100809,1,36.0952983804701,70.8845189238486,57.5509053070433
"49","08LIT2603",47.7387246616313,12.519801794041,2.95094558255931,18,"none",0.907822394563699,0.189542483660131,0.288882804027164,1,17.4642600002057,64.6803848426355,48.0575372539876
"50","08LIT2682",51.898113657196,8.49818812232412,1.94961806465308,19,"positive",1.12672729570544,0.52046783625731,0.00207884793693544,1,37.6773668667794,64.0766671009489,52.2426529159195
"51","08LIT2685",45.2170907338624,11.1811847471441,2.71183563129532,17,"none",0.0288631524281135,0.0735294117647059,0.710835924814926,1,25.3148163386122,57.3171011774763,49.6489373799295
"52","08LIT2692",61.3183044283545,14.2488326390783,3.45584953015697,17,"none",-0.500310437992683,-0.147058823529412,0.433826840365301,1,30.6638041181385,76.8464223714782,66.9772120394465
"53","08LIT2781",58.5117132596774,7.99294141712545,1.83370652099424,19,"none",-0.408897331995944,-0.181286549707602,0.293917170251957,1,44.8804223851924,78.9448841552125,59.6543981933859
"54","08NOR1362",42.0029969003945,9.86391299970357,2.39235030468712,17,"none",0.732577585655261,0.220588235294118,0.232248741984054,1,25.5990637789183,61.1059214383428,39.6504445107296
"55","08NOR1370",40.9310851302663,8.54433755011953,1.96020546949847,19,"none",-0.363926612396632,-0.192982456140351,0.26291056711835,1,23.5168135797771,52.3953625513853,43.5679445993003
"56","08NOR1750",52.9735558067916,11.1348423086572,2.62450750129811,18,"positive",1.4171146987967,0.516339869281046,0.00313216069473615,1,33.2535014005602,73.5234675265455,54.5485097547791
