"","Sample.Code","Site.Code","Visit.Date","Year","x32","DD","wtr_year"
"32","08BEA3474_15","08BEA3474",2015-09-08,"2015",17.85,3500.05,2015
"33","08BEA3474_16","08BEA3474",2016-08-02,"2016",17.35,2598.6,2016
"34","08BEA3474_17","08BEA3474",2017-07-27,"2017",15.95,2119.7,2017
"35","08BEA3474_18","08BEA3474",2018-08-14,"2018",21.0500000000001,2655.40000000001,2018
"36","08BEA3474_19","08BEA3474",2019-07-17,"2019",17,2008.35,2019
"37","08BEA3474_21","08BEA3474",2021-08-26,"2021",18.2,2874.15000000001,2021
"38","08BEA3478/05","08BEA3478",2005-08-09,"2005",19.2,2621.95000000001,2005
"39","08BEA3478/06","08BEA3478",2006-08-30,"2006",13.5,2936.85000000001,2006
"40","08BEA3478/08","08BEA3478",2008-08-14,"2008",22.15,2350.75000000001,2008
"41","08BEA3478/09","08BEA3478",2009-08-13,"2009",15.45,2490.85,2009
"42","08BEA3478/10","08BEA3478",2010-08-25,"2010",20.35,2824.75000000001,2010
"43","08BEA3478_11_R","08BEA3478",2011-08-25,"2011",21.65,2467.35000000001,2011
"44","08BEA3478_12","08BEA3478",2012-08-14,"2012",21.75,2404.15000000001,2012
"45","08BEA3478_13","08BEA3478",2013-08-21,"2013",18.45,2788,2013
"46","08BEA3478_14","08BEA3478",2014-09-03,"2014",15.35,3071.40000000001,2014
"47","08BEA3478_15","08BEA3478",2015-08-26,"2015",20,3285.65,2015
"48","08BEA3478_2003","08BEA3478",2003-08-06,"2003",18.8000000000001,2559.15000000001,2003
"49","08BEA3478_2007","08BEA3478",2007-08-28,"2007",16.5,2830.15000000001,2007
"50","08BEA3571/05","08BEA3571",2005-08-15,"2005",21.35,2657.10000000001,2005
"51","08BEA3571/05-R","08BEA3571",2005-08-15,"2005",21.35,2657.10000000001,2005
"52","08BEA3571/06","08BEA3571",2006-08-22,"2006",17.15,2705.95000000001,2006
"53","08BEA3571/08","08BEA3571",2008-08-11,"2008",17.95,2189.35000000001,2008
"54","08BEA3571/09","08BEA3571",2009-08-12,"2009",17.4,2398.35,2009
"55","08BEA3571/10","08BEA3571",2010-08-10,"2010",16.25,2461,2010
"56","08BEA3571_11","08BEA3571",2011-08-03,"2011",17.1,1983.8,2011
"57","08BEA3571_12","08BEA3571",2012-08-14,"2012",21.35,2317.1,2012
"58","08BEA3571_13","08BEA3571",2013-09-10,"2013",19.85,3078.35000000001,2013
"59","08BEA3571_14","08BEA3571",2014-09-03,"2014",14.9,2950.65000000001,2014
"60","08BEA3571_15","08BEA3571",2015-08-24,"2015",17.35,3163.75000000001,2015
"61","08BEA3571_16","08BEA3571",2016-08-22,"2016",15.4,2893.40000000001,2016
"62","08BEA3571_17","08BEA3571",2017-07-24,"2017",18.25,1996.95,2017
"63","08BEA3571_19","08BEA3571",2019-08-19,"2019",16.75,2549.45,2019
"64","08BEA3571_20","08BEA3571",2020-08-10,"2020",18.15,2379.8,2020
"65","08BEA3571_2002","08BEA3571",2002-09-11,"2002",18.2,2830.45000000001,2002
"66","08BEA3571_2003","08BEA3571",2003-08-07,"2003",18.05,2490.55,2003
"67","08BEA3571_2007","08BEA3571",2007-08-07,"2007",15.3,2366.4,2007
"68","08BEA3571_21","08BEA3571",2021-09-16,"2021",11.85,3085.80000000001,2021
"69","08BEA3571QC_2007","08BEA3571",2007-08-07,"2007",15.3,2366.4,2007
"70","08BEA3650/06","08BEA3650",2006-08-17,"2006",17.25,2619.65,2006
"71","08BEA3650/06-R","08BEA3650",2006-08-17,"2006",17.25,2619.65,2006
"72","08BEA3650/08","08BEA3650",2008-08-03,"2008",16.8,2043.60000000001,2008
"73","08BEA3650/09","08BEA3650",2009-08-19,"2009",22.2,2519.40000000001,2009
"74","08BEA3650/10","08BEA3650",2010-08-25,"2010",20.15,2775.1,2010
"75","08BEA3650_11","08BEA3650",2011-09-07,"2011",18.35,2612.35000000001,2011
"76","08BEA3650_12","08BEA3650",2012-08-29,"2012",15.4,2598.95000000001,2012
"77","08BEA3650_13","08BEA3650",2013-08-15,"2013",20.2,2593.90000000001,2013
"78","08BEA3650_14","08BEA3650",2014-08-26,"2014",22.1,2831,2014
"79","08BEA3650_15","08BEA3650",2015-09-03,"2015",13.5,3356.40000000001,2015
"80","08BEA3650_15_R","08BEA3650",2015-09-03,"2015",13.5,3356.40000000001,2015
"81","08BEA3650_16","08BEA3650",2016-08-22,"2016",15.8,2930.80000000001,2016
"82","08BEA3650_17","08BEA3650",2017-09-18,"2017",12.5,3068.30000000001,2017
"83","08BEA3650_18","08BEA3650",2018-09-19,"2018",13.1,3185.85,2018
"84","08BEA3650_18_Rep","08BEA3650",2018-09-19,"2018",13.1,3185.85,2018
"85","08BEA3650_19","08BEA3650",2019-08-06,"2019",20.05,2353.75,2019
"86","08BEA3650_20","08BEA3650",2020-08-10,"2020",18.4,2420.55000000001,2020
"87","08BEA3650_2002","08BEA3650",2002-08-08,"2002",17.8,2238.00000000001,2002
"88","08BEA3650_2003","08BEA3650",2003-08-12,"2003",17.4,2587.6,2003
"89","08BEA3650_2007","08BEA3650",2007-08-16,"2007",17.25,2534.15000000001,2007
"90","08BEA3650_21","08BEA3650",2021-08-04,"2021",21.95,2374.8,2021
"91","08BEA3650QC_2007","08BEA3650",2007-08-16,"2007",17.25,2534.15000000001,2007
"92","08BEA3737/05","08BEA3737",2005-08-09,"2005",18.8,2544,2005
"93","08BEA3737/05-R","08BEA3737",2005-08-23,"2005",16.3,2809.35,2005
"94","08BEA3737/06","08BEA3737",2006-08-17,"2006",17.25,2619.65,2006
"95","08BEA3737/08","08BEA3737",2008-08-13,"2008",20.25,2236.75000000001,2008
"96","08BEA3737/09","08BEA3737",2009-08-06,"2009",15.85,2292.95,2009
"97","08BEA3737/09-R","08BEA3737",2009-08-06,"2009",15.85,2292.95,2009
"98","08BEA3737/10","08BEA3737",2010-08-10,"2010",16.2,2486.65,2010
"99","08BEA3737_12","08BEA3737",2012-08-14,"2012",21.35,2326.35000000001,2012
"100","08BEA3737_13","08BEA3737",2013-08-15,"2013",20.2,2593.90000000001,2013
"101","08BEA3737_14","08BEA3737",2014-08-26,"2014",22.1,2831,2014
"102","08BEA3737_15","08BEA3737",2015-08-20,"2015",18.6,3110.05000000001,2015
"103","08BEA3737_15_R","08BEA3737",2015-08-20,"2015",18.6,3110.05000000001,2015
"104","08BEA3737_16","08BEA3737",2016-09-07,"2016",14.75,3198.90000000001,2016
"105","08BEA3737_17","08BEA3737",2017-09-18,"2017",12.5,3068.30000000001,2017
"106","08BEA3737_18","08BEA3737",2018-09-19,"2018",13.1,3185.85,2018
"107","08BEA3737_18_Rep","08BEA3737",2018-09-19,"2018",13.1,3185.85,2018
"108","08BEA3737_19","08BEA3737",2019-07-16,"2019",20.5,1960.45,2019
"109","08BEA3737_20","08BEA3737",2020-07-21,"2020",20.85,2050.7,2020
"110","08BEA3737_2002","08BEA3737",2002-08-29,"2002",20.85,2639.75000000001,2002
"111","08BEA3737_2002R2","08BEA3737",2002-08-29,"2002",20.85,2639.75000000001,2002
"112","08BEA3737_2003","08BEA3737",2003-08-06,"2003",18.45,2478.6,2003
"113","08BEA3737_2007","08BEA3737",2007-08-08,"2007",17.65,2393.15000000001,2007
"114","08BEA3737_21","08BEA3737",2021-08-04,"2021",21.95,2374.8,2021
"115","08BEA3747/05","08BEA3747",2005-08-09,"2005",19.05,2505.5,2005
"116","08BEA3747/05-R","08BEA3747",2005-08-09,"2005",19.05,2505.5,2005
"117","08BEA3747/06","08BEA3747",2006-08-30,"2006",12.85,2808.65000000001,2006
"118","08BEA3747/08","08BEA3747",2008-08-11,"2008",17.75,2141.30000000001,2008
"119","08BEA3747/09","08BEA3747",2009-08-19,"2009",21.45,2458.30000000001,2009
"120","08BEA3747/10","08BEA3747",2010-08-25,"2010",20,2740.80000000001,2010
"121","08BEA3747_11","08BEA3747",2011-08-03,"2011",17.0500000000001,1952.65,2011
"122","08BEA3747_12","08BEA3747",2012-08-24,"2012",14.6,2476.05000000001,2012
"123","08BEA3747_13","08BEA3747",2013-08-27,"2013",18.15,2776.70000000001,2013
"124","08BEA3747_14","08BEA3747",2014-09-03,"2014",14.6,2872.60000000001,2014
"125","08BEA3747_14_R","08BEA3747",2014-09-03,"2014",14.6,2872.60000000001,2014
"126","08BEA3747_15","08BEA3747",2015-09-08,"2015",17.55,3391.40000000001,2015
"127","08BEA3747_15_R","08BEA3747",2015-09-08,"2015",17.55,3391.40000000001,2015
"128","08BEA3747_16","08BEA3747",2016-08-09,"2016",16.8000000000001,2634.45000000001,2016
"129","08BEA3747_17","08BEA3747",2017-07-24,"2017",18.5,1992.45,2017
"130","08BEA3747_18","08BEA3747",2018-09-27,"2018",14.95,3246.00000000001,2018
"131","08BEA3747_19","08BEA3747",2019-08-19,"2019",16.95,2555.35000000001,2019
"132","08BEA3747_20","08BEA3747",2020-08-31,"2020",15.6,2752.30000000001,2020
"133","08BEA3747_2002","08BEA3747",2002-08-15,"2002",20.4,2345.65000000001,2002
"134","08BEA3747_2003","08BEA3747",2003-08-07,"2003",18.1,2458.5,2003
"135","08BEA3747_2007","08BEA3747",2007-08-07,"2007",15.3000000000001,2315.5,2007
"136","08BEA3747_21","08BEA3747",2021-08-09,"2021",18.35,2410.20000000001,2021
"137","08BEA3826/05","08BEA3826",2005-08-09,"2005",18.8,2544,2005
"138","08BEA3826/06","08BEA3826",2006-08-22,"2006",17.15,2714.40000000001,2006
"139","08BEA3826/09","08BEA3826",2009-08-19,"2009",22.2,2519.40000000001,2009
"140","08BEA3826/10","08BEA3826",2010-08-25,"2010",20.15,2775.1,2010
"141","08BEA3826_11","08BEA3826",2011-08-03,"2011",17.2,1989.50000000001,2011
"142","08BEA3826_12","08BEA3826",2012-08-14,"2012",21.35,2326.35000000001,2012
"143","08BEA3826_13","08BEA3826",2013-08-21,"2013",18,2706.85000000001,2013
"144","08BEA3826_13_Rep","08BEA3826",2013-08-21,"2013",18,2706.85000000001,2013
"145","08BEA3826_14","08BEA3826",2014-09-02,"2014",15.75,2952.5,2014
"146","08BEA3826_15","08BEA3826",2015-08-19,"2015",23,3091.45000000001,2015
"147","08BEA3826_16","08BEA3826",2016-08-10,"2016",17.85,2688.95000000001,2016
"148","08BEA3826_17","08BEA3826",2017-08-22,"2017",21.2,2585.15,2017
"149","08BEA3826_18","08BEA3826",2018-08-06,"2018",20.8,2430.45,2018
