"","SiteName","SampleName","SampleDate","ThalwegDepth"
"95","07PAT187623","07PAT187623_18","2018-09-06 19:08:00.0000000",10.4330708661417
"96","07RAG004615","07RAG004615_18","2018-09-06 20:52:00.0000000",12.007874015748
"97","08SAM2855","08SAM2855_18","2018-09-10 16:00:00.0000000",2.36220472440945
"98","08LIT2585","08LIT2585_18","2018-09-10 17:50:00.0000000",11.8110236220472
"99","08LIT2682","08LIT2682_18","2018-09-10 20:45:00.0000000",12.992125984252
"100","09COV1756","09COV1756_18","2018-09-11 18:45:00.0000000",9.74409448818898
"101","07RAG042787","07RAG042787_18","2018-09-12 16:50:00.0000000",12.3523622047244
"102","07SFS011059","07SFS011059_18","2018-09-12 20:45:00.0000000",18.503937007874
"103","08ISS4724","08ISS4724_18","2018-09-12 21:00:00.0000000",13.4350393700787
"104","08NOR1370","08NOR1370_18","2018-09-13 15:19:00.0000000",18.6515748031496
"105","08NOR1362","08NOR1362_18","2018-09-13 17:50:00.0000000",12.3031496062992
"106","08NOR1750","08NOR1750_18","2018-09-13 20:15:00.0000000",12.992125984252
"107","08NOR2306","08NOR2306_18","2018-09-13 21:06:00.0000000",8.16929133858268
"108","08LIT2781","08LIT2781_18","2018-09-17 15:30:00.0000000",8.66141732283465
"109","08CED5046","08CED5046_18","2018-09-17 16:32:00.0000000",5.61023622047244
"110","08EAS1536","08EAS1536_18","2018-09-17 21:00:00.0000000",4.52755905511811
"111","07TKL072439","07TKL072439_18","2018-09-17 21:22:00.0000000",5.01968503937008
"112","07SFS009443","07SFS009443_18","2018-09-18 17:00:00.0000000",8.46456692913386
"113","07SFS041891","07SFS041891_18","2018-09-18 17:23:00.0000000",13.9763779527559
"114","07SFS011475","07SFS011475_18","2018-09-18 19:30:00.0000000",17.2244094488189
"115","07LMS103591","07LMS103591_18","2018-09-18 21:15:00.0000000",21.1614173228346
"116","09DUW0091","09DUW0091_18","2018-09-19 15:40:00.0000000",3.24803149606299
"117","08BEA3737","08BEA3737_18","2018-09-19 16:30:00.0000000",3.64173228346457
"118","07LST069191","07LST069191_18","2018-09-19 17:11:00.0000000",4.33070866141732
"119","08BEA3650","08BEA3650_18","2018-09-19 17:55:00.0000000",8.16929133858268
"120","08BEA3321","08BEA3321_18","2018-09-19 19:56:00.0000000",9.3503937007874
"121","07LNT163403","07LNT163403_18","2018-09-19 20:48:00.0000000",9.44881889763779
"122","08WES1037","08WES1037_18","2018-09-19 21:30:00.0000000",2.65748031496063
"123","09COV1862","09COV1862_18","2018-09-20 07:00:00.0000000",7.28346456692913
"124","07LNT062039","07LNT062039_18","2018-09-20 17:30:00.0000000",22.4409448818898
"125","09COV1864","09COV1864_18","2018-09-20 19:18:00.0000000",4.03543307086614
"126","07LNT130827","07LNT130827_18","2018-09-20 21:30:00.0000000",16.8307086614173
"127","08SAM2674","08SAM2674_18","2018-09-21 16:45:00.0000000",4.23228346456693
"128","08EAS2191","08EAS2191_18","2018-09-24 15:35:00.0000000",3.74015748031496
"129","07PAT001415","07PAT001415_18","2018-09-24 16:21:00.0000000",3.93700787401575
"130","08EAS2546","08EAS2546_18","2018-09-24 17:40:00.0000000",2.70669291338583
"131","07PAT166087","07PAT166087_18","2018-09-24 17:50:00.0000000",5.80708661417323
"132","09SOO1022","09SOO1022_18","2018-09-24 20:29:00.0000000",4.23228346456693
"133","08LAK3627","08LAK3627_18","2018-09-25 16:15:00.0000000",5.90551181102362
"134","07CHR070059","07CHR070059_18","2018-09-25 17:12:00.0000000",4.7244094488189
"135","08LAK3628","08LAK3628_18","2018-09-25 17:50:00.0000000",3.64173228346457
"136","07CHR234411","07CHR234411_18","2018-09-25 21:15:00.0000000",17.3228346456693
"137","09SOO0943","09SOO0943_18","2018-09-25 21:30:00.0000000",29.1338582677165
"138","07STL184007","07STL184007_18","2018-09-26 16:30:00.0000000",15.1574803149606
"139","07CHR045515","07CHR045515_18","2018-09-26 19:45:00.0000000",9.64566929133858
"140","VashChris","VashChris_18","2018-09-26 21:50:00.0000000",3.24803149606299
"141","09NEW2128","09NEW2128_18","2018-09-27 15:55:00.0000000",4.37992125984252
"142","08BEA3747","08BEA3747_18","2018-09-27 16:24:00.0000000",9.94094488188976
