SITE_ID,SAMPLE_NUMBER,SampleID,Sand (A),Very Fine Gravel (B),Very Fine Gravel (C),Fine Gravel (D),Fine Gravel (E),Medium Gravel (F),Medium Gravel (G),Course Gravel (H),Course Gravel (I),Very Course Gravel (J),Very Course Gravel (K),Small Cobble (L),Medium Cobble (M),Large Cobble (N),Very Large Cobble (O),Small Boulder (P),Medium Boulder (Q),Large Boulder (R)
WalkerPreserve,WalkerPreserve_14,1823,3,0,2,2,11,18,20,31,16,4,0,0,1,0,0,0,0,0
08WES1490,08WES1490_14,1824,5,0,3,1,3,3,10,19,11,7,13,15,9,5,2,0,0,0
08SAM2855,08SAM2855_14,1826,9,0,0,4,3,6,6,10,16,22,37,14,6,7,0,0,0,0
08SAM2862,08SAM2862_14,1827,1,0,2,3,9,12,25,18,22,12,4,0,0,0,0,0,0,0
08SAM3047,08SAM3047_14,1828,12,7,6,7,2,8,9,16,19,11,11,6,6,4,1,0,0,0
09MID1744,09MID1744_14,1829,3,1,0,0,3,10,13,14,17,23,11,3,10,5,6,0,0,1
08ISS4748,08ISS4748_14,1830,25,3,4,5,11,13,11,12,8,7,7,8,5,5,4,3,0,0
08CED4192,08CED4192_14,1831,6,0,0,3,2,5,7,16,25,21,27,20,7,5,2,2,1,0
08LIT2781,08LIT2781_14,1832,7,1,0,2,5,7,27,36,36,15,2,0,0,4,0,0,0,0
08ISS3958,08ISS3958_14,1833,33,1,3,4,6,3,7,8,6,3,4,15,7,8,0,0,0,0
09DUW0277,09DUW0277_14,1834,18,0,2,2,7,9,22,9,14,11,6,3,1,0,0,0,0,0
09SOO0943,09SOO0943_14,1835,6,0,0,3,9,11,35,36,24,9,1,0,0,0,0,0,0,0
09COV1756,09COV1756_14,1836,23,1,4,3,4,17,16,10,13,23,19,7,7,0,1,0,0,0
08LIT2685,08LIT2685_14,1837,2,0,0,1,12,22,23,31,22,11,0,1,1,0,0,0,0,0
