SITE_ID,SAMPLE_NUMBER,SampleID,Sand (A),Very Fine Gravel (B),Very Fine Gravel (C),Fine Gravel (D),Fine Gravel (E),Medium Gravel (F),Medium Gravel (G),Course Gravel (H),Course Gravel (I),Very Course Gravel (J),Very Course Gravel (K),Small Cobble (L),Medium Cobble (M),Large Cobble (N),Very Large Cobble (O),Small Boulder (P),Medium Boulder (Q),Large Boulder (R)
08EAS2058,08EAS2058_16,2342,2,0,3,4,3,6,5,13,19,15,14,5,5,3,1,1,0,0
08EAS1964,08EAS1964_16,2343,3,6,4,6,4,4,5,14,18,26,10,9,5,0,0,0,0,0
07HAR070087,07HAR070087_16,2344,3,0,6,4,13,13,23,20,24,14,3,1,0,0,0,0,0,0
07GRN077319,07GRN077319_16,2345,0,0,0,1,3,5,22,31,29,16,11,6,0,0,0,0,0,0
08EAS2272,08EAS2272_16,2347,1,0,2,5,4,8,10,10,15,18,8,9,7,4,3,1,1,0
08EAS2546,08EAS2546_16,2348,3,7,10,10,11,13,14,12,15,11,7,4,1,0,0,0,0,0
08WES0905,08WES0905_16,2349,6,6,4,4,3,5,12,16,28,21,19,0,1,1,0,0,0,0
07HAR025863,07HAR025863_16,2350,2,1,2,1,4,6,2,13,15,19,15,13,14,8,1,0,0,0
07PAT187623,07PAT187623_16_R,2351,38,0,0,3,5,9,17,13,13,13,6,2,1,0,0,0,0,0
07LMS213875,07LMS213875_16,2352,9,2,0,2,2,2,6,8,28,29,47,25,19,19,14,3,0,0
09DEE2211,09DEE2211_16_R,2353,9,0,1,1,3,2,3,12,13,25,15,23,8,4,0,0,0,0
08EAS2191,08EAS2191_16_R,2354,2,4,3,14,14,22,23,22,5,2,4,0,0,0,0,0,0,0
08WES1037,08WES1037_16,2355,54,2,2,3,11,6,3,2,5,3,8,1,0,0,0,1,0,0
08WES1178,08WES1178_16,2356,6,0,2,1,7,9,19,15,20,17,16,11,2,0,0,0,0,0
08WES1340,08WES1340_16,2357,18,0,3,1,7,5,16,10,9,17,9,5,6,0,0,0,0,0
08WES1579,08WES1579_16,2358,22,7,14,11,16,17,5,6,8,6,5,2,0,1,0,0,0,0
09BLA0722,09BLA0722_16,2359,5,4,4,6,8,12,14,19,26,16,9,7,0,0,0,0,0,0
09BLA0768,09BLA0768_16,2360,18,5,4,5,13,7,12,17,7,14,9,0,3,0,0,0,0,0
09BLA0771,09BLA0771_16,2361,3,8,8,7,10,13,17,12,15,19,7,2,0,0,0,0,0,0
09BLA0772,09BLA0772_16,2362,10,5,10,6,22,10,7,6,8,6,5,9,5,0,0,0,0,0
09BLA0817,09BLA0817_16,2363,7,5,11,19,19,19,16,9,1,1,0,0,0,0,0,0,0,0
09SOO0943,09SOO0943_16,2364,12,2,3,3,6,11,20,29,12,6,1,0,0,0,0,0,0,0
09SOO1022,09SOO1022_16,2365,4,7,6,9,8,12,10,12,12,21,8,9,4,2,0,0,0,0
09SOO1130,09SOO1130_16,2366,6,0,0,2,2,2,3,4,7,22,22,22,12,4,3,0,0,0
09SOO1134,09SOO1134_16,2367,5,0,0,2,6,9,6,10,9,14,15,14,15,3,3,5,1,0
09SOO1209,09SOO1209_16,2368,16,4,6,5,9,7,11,14,11,8,11,4,2,0,0,0,0,0
VashChris,VashChris_16,2370,28,3,12,13,22,13,20,13,2,5,0,0,0,0,0,0,0,0
VashShing,VashShing_16,2371,39,0,1,12,19,27,23,10,6,0,0,0,0,0,0,0,0,0
28A,28A_16,2372,31,3,8,11,6,13,12,11,4,7,9,9,2,0,1,0,1,0
08EVA3637,08EVA3637_16,2373,24,0,0,2,5,6,21,25,15,14,1,0,0,0,0,0,0,0
08LIT2603,08LIT2603_16,2374,2,0,0,1,4,4,15,26,25,15,12,2,0,0,0,0,0,0
08CED4975,08CED4975_16,2375,13,4,0,9,10,23,20,24,11,6,1,0,0,0,0,0,0,0
08CED5032,08CED5032_16,2376,8,4,2,3,4,7,9,10,10,7,3,7,7,6,6,8,6,1
08CED5046,08CED5046_16,2377,7,0,0,4,1,3,7,5,10,12,11,5,22,6,8,5,0,0
08LIT2685,08LIT2685_15,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1264,E1264_14,1894,10,4,0,1,3,9,16,19,18,17,6,3,1,0,0,0,0,0
08ISS4730,08ISS4730_15,1914,7,1,1,1,3,5,10,18,15,8,4,9,14,11,1,0,0,0
BSE_8_268thAveSE,BSE_8_268thAveSE_16,2179,10,0,0,0,2,3,14,11,33,34,12,2,0,0,0,0,0,0
