PSSB_SAMPID,PSSB_SITID,PSSB_VISID,tblSampleEvent_SAMPLE_NUMBER,SITE_ID,SampleDate,Time,tblRiffleGroup_SAMPLE_NUMBER,Reach_Length_ft,Number_of_Riffles_Sampled,Streambank_Stability,RiffleNumber,Riffle_Flow_Distance_ft,Riffle_Flow_Time_sec_Rep1,Riffle_Flow_Time_sec_Rep2,Riffle_Flow_Time_sec_Rep3
4047,116,2496,08BEA3737_09,08BEA3737,8/6/2009 0:00:00,12/30/1899 13:10:00,08BEA3737_09,137,,3,3,10,8.37,6.75,6.62
4867,116,3050,08BEA3737_10,08BEA3737,8/10/2010 0:00:00,,08BEA3737_10,48,,2,1,5,10.45,10.22,11.43
4867,116,3050,08BEA3737_10,08BEA3737,8/10/2010 0:00:00,,08BEA3737_10,48,,2,2,5,4.87,5.41,5.32
4867,116,3050,08BEA3737_10,08BEA3737,8/10/2010 0:00:00,,08BEA3737_10,48,,2,3,5,9.81,10.54,10.22
5747,116,3677,08BEA3737_11,08BEA3737,8/25/2011 0:00:00,12/30/1899 8:30:00,08BEA3737_11,76,,3,1,3,3.35,2.94,3.56
5747,116,3677,08BEA3737_11,08BEA3737,8/25/2011 0:00:00,12/30/1899 8:30:00,08BEA3737_11,76,,3,2,3,2.09,2.79,2.53
5747,116,3677,08BEA3737_11,08BEA3737,8/25/2011 0:00:00,12/30/1899 8:30:00,08BEA3737_11,76,,3,3,3,3.62,3.22,2.67
3884,117,2342,08BEA3747_02,08BEA3747,8/15/2002 0:00:00,,08BEA3747_02,,,,1,2,1.75,1.5,1.75
3884,117,2342,08BEA3747_02,08BEA3747,8/15/2002 0:00:00,,08BEA3747_02,,,,2,2,0.75,0.75,0.75
3884,117,2342,08BEA3747_02,08BEA3747,8/15/2002 0:00:00,,08BEA3747_02,,,,3,3,1.2,1.1,1.2
3211,117,1957,08BEA3747_03,08BEA3747,8/7/2003 0:00:00,12/30/1899 10:30:00,08BEA3747_03,,,,1,3,2.59,2.73,2.58
3211,117,1957,08BEA3747_03,08BEA3747,8/7/2003 0:00:00,12/30/1899 10:30:00,08BEA3747_03,,,,2,3,3.55,2.8,3.26
3211,117,1957,08BEA3747_03,08BEA3747,8/7/2003 0:00:00,12/30/1899 10:30:00,08BEA3747_03,,,,3,3,2.08,1.76,1.84
936,117,816,08BEA3747_05,08BEA3747,8/9/2005 0:00:00,12/30/1899 9:30:00,08BEA3747_05,,,,1,3,3.06,2.73,2.52
936,117,816,08BEA3747_05,08BEA3747,8/9/2005 0:00:00,12/30/1899 9:30:00,08BEA3747_05,,,,2,3,2.33,1.64,1.53
89,117,89,08BEA3747_06,08BEA3747,8/30/2006 0:00:00,12/30/1899 12:00:00,08BEA3747_06,61,,3,1,5,6.6,5.72,6.27
89,117,89,08BEA3747_06,08BEA3747,8/30/2006 0:00:00,12/30/1899 12:00:00,08BEA3747_06,61,,3,2,5,3.44,3.5,4.04
89,117,89,08BEA3747_06,08BEA3747,8/30/2006 0:00:00,12/30/1899 12:00:00,08BEA3747_06,61,,3,3,7,4.79,4.73,4.8
